@relation training-set

@attribute @class@ {Social,Technology,Politics,Sports}
@attribute content string

@data
Social,'European shares fell today unable to maintain the momentum that took Asian equities to two month highs after upbeat U S jobs data and as oil prices rose Read more Europe shares dip after Asia hits two month high oil rises'
Social,'Japan s central bank is expected to cut its economic and price forecasts for next fiscal year at a quarterly review in April sources familiar with its thinking say as weak global demand hits growth and yen rises weigh on imported fuel Japan central bank to cut next fiscal year s growth price estimates sources'
Politics,'South Korean and U S troops began large scale military exercises on Monday in an annual test of their defenses against North Korea which called the drills nuclear war moves and threatened to respond with an all out South Korea U S begin exercises as North Korea threatens attack'
Politics,'Democratic presidential contenders Bernie Sanders and Hillary Clinton clashed angrily over trade the auto industry bailout and Wall Street in a Michigan debate on Sunday with Sanders accusing Clinton of backing trade deals that robbed the state of Clinton Sanders clash over trade and auto bailout in Michigan debate'
Social,'Oil prices opened strongly on Monday after rallying in the previous session supported by tightening supply and strengthening sentiment around a market Oil rises as traders close short positions U S producers cut rig count'
Politics,'The European Union hopes a summit with Turkey on Monday can start putting an end to the chaotic arrivals of migrants in Greece and halt their treks through the Balkans toward Germany diplomats said on S EU talks tough on migrants from Turkey uneasy over rights'
Politics,'Former U S President Jimmy Carter said on Sunday that he will no longer need treatment for melanoma a type of skin cancer that had spread to his liver and brain a spokeswoman Jimmy Carter says he no longer needs cancer treatments'
Politics,'Trump and Hillary Clinton bash banks while taking their money Listen to Viewsroom s take on the Wall Street frenemies Viewsroom Wall Street frenemies Ackman AT T'
Sports,'Former tennis world number one Maria Sharapova will be holding a news conference in Los Angeles on Monday to make a major announcement though no other details were given by her manager on S Sharapova set to make major announcement'
Politics,'President Obama is invested in the gun industry are you Find out more with our Special Report Obama s gun stocks'
Social,'The Massachusetts university attended by the man convicted in the Boston Marathon bombing has told filmmakers they cannot shoot scenes on campus for an upcoming movie about the deadly Boston Marathon movie can t film at bomber s former university'
Social,'The small difference is that the profit margin for the drug traffickers is at least times higher than any industrial manufacturer the annual report by the anti mafia prosecutor s office Read more Italian mafia earnings from drugs rival Fiat with cars'
Social,'Nancy Reagan one of the most influential first ladies in U S history died Sunday at age Read more Former U S first lady Nancy Reagan dead at Reagan library'
Politics,'Republican presidential contender Ted Cruz solidified his claim to be front runner Donald Trump s prime challenger by splitting four nominating contests with the real estate mogul and both turned their attention to a crucial showdown in Michigan on T With two wins Cruz stakes claim as Trump s main Republican rival'
Social,'The owner of a floor tower in Los Angeles is building a glass slide to hang off the exterior of the structure and it will invite visitors to ride the More here Slip sliding away atop a Los Angeles skyscraper'
Politics,'After the Soviet Union fell NATO It also lost its main purpose taking on that same Soviet U Here s this week s War College podcast Can NATO still put up a fight against Russia'
Politics,'Republican presidential contender Ted Cruz solidified his claim to be front runner Donald Trump s prime challenger by splitting four nominating contests with the real estate mogul and both turned their attention to a crucial showdown in Michigan on T With two wins Cruz stakes claim as Trump s main Republican rival'
Social,'This is Nigeria s floating school buoyed by hundreds of recycled plastic barrels Nigeria s floating school'
Politics,'German Vice Chancellor Sigmar Gabriel has criticized leading Republican presidential candidate Donald Trump as a right wing populist whose political views pose a threat to peace and German vice chancellor says Trump poses threat to peace and prosperity'
Politics,'China will never allow the tragedy of Taiwan being split off from the rest of the country to happen again state media on Sunday quoted President Xi Jinping as saying offering a strong warning to the island against any moves towards China s Xi says won t allow Taiwan to be split off again'
Politics,'German Chancellor Angela Merkel has criticized the anti immigrant Alternative for Germany AfD party saying it stirs up prejudice and polarizes Merkel slams anti immigrant AfD defends her refugee policy'
Social,'Retired Japanese airline employee Tarou Tanzawa said he hadn t thought much about his own death until his year old mother was diagnosed with malignant lymphoma and decided against costly and invasive life prolonging Aging indebted Japan debates right to die with dignity'
Technology,'A Inc AMZN O said it plans to restore an encryption feature on its Fire tablets after customers and privacy advocates criticized the company for quietly removing the security option when it released its latest operating Amazon to restore encryption to Fire tablets after complaints'
Technology,'The U S Commerce Department is set to place restrictions on exports of U S products by Chinese telecoms equipment maker ZTE Corp for allegedly violating U S export controls related to Iran according to documents seen by R U S Commerce Department to place restrictions on ZTE Corp'
Politics,'The White House is vetting federal appellate judges Merrick Garland and Sri Srinivasan as possible nominees to the Supreme Court to replace late Justice Antonin Scalia the New York Times reported on F Appellate judges Garland Srinivasan considered for U S top court NYT'
Politics,'Public support for Vladimir Putin to serve another term as president has hit its highest level in four years a survey by a state run pollster Find out more Public support for Putin to serve another term hits highest level in four years poll'
Politics,'The Taliban said on Saturday it would not take part in peace talks brokered by a four way group including representatives of Afghanistan Pakistan China and the United S Taliban says will not take part in Afghan peace talks'
Social,'My highest duty as a parent was to protect my children which I failed to That makes me the worst parent and I have to apologize to them said Ueno He braves radiation searching the beaches near the Fukushima nuclear plant looking for the remains of his three year old son Fukushima Searching for loved ones'
Social,'Media mogul Rupert Murdoch and actress and model Jerry Hall celebrated their marriage with a blessing service on Saturday at S Bride s church on London s Fleet Street the spiritual home of British Newly weds Rupert Murdoch and Jerry Hall blessed in London church'
Politics,'What a week on the campaign See a recap in Politics U WATCH Politics Unfiltered The GOP s bench clearing brawl'
Sports,'What s the value of a Super Bowl commercial Keeping Score finds out Was the million Super Bowl ad worth it'
Politics,'Osama bin Laden wrote a letter calling on the American people to help President Barack Obama fight catastrophic climate change and save humanity in the latest evidence of his worries about environmental issues documents released earlier this week Read more Bin Laden called for Americans to rise up over climate change'
Politics,'What would a President Trump do if he makes it to the White House Take a look at this list of his policies Factbox Build a giant wall cut Education D What a President Trump would do'
Politics,'The elected president s role should expand beyond that of custodian of financial reserves to include that of mentor guardian and unifier says Krishnadas D Moral roles of the elected president'
Politics,'Observers say Dr Tan Cheng Bock s move is aimed at increasing his chances of qualifying for the next presidential Tan Cheng Bock s nd presidential bid It s a tactical move say political observers'
Social,'Staycations farm tour or an Ubin adventure some ideas for the March school What to book for March holidays'
Politics,'Tan Sri Mohd Irwan Serigar Abdullah will replace Ms Zeti who steps down as Bank Negara Malaysia governor on April after years at the helm the report Top Finance Ministry official set to be new governor of Malaysia s central bank Wall Street Journal'
Social,'His wife s Twitter posts about her desire to join ISIS caught the attention of the FBI Mississippi man pleads guilty to trying to join ISIS with his wife'
Social,'The temporary bus interchange will be in service until as Woodlands Regional Interchange undergoes upgrading and construction of an Woodlands temporary bus interchange boasts first of its kind features'
Technology,'Motoring The latest Mercedes Benz E class is sleeker than before and boasts better performance and lots of Mercedes Benz E Park this car with a phone'
Social,'Why does a Chinese student want to learn Indian dance I mean it s okay to be exposed to it but why does she need to be so immersed asked a National Arts Council deputy CEO Paul Tan replied Why not When Chinese girls perform Indian dance'
Sports,'They nullify Westports Malaysia Dragons home advantage with win in Kuala Lumpur in Game O Basketball Singapore Slingers strike first blow in ABL Finals'
Social,'Missed the March solar eclipse Relive the magic with our new free Here s how you can download it from The Straits Times Star E books app for iPad and Android devices'
Politics,'While the Reagans were strong advocates for stem cell research and finding a cure for Alzheimer s disease I misspoke about their record on HIV and Aids Mrs Clinton For that I m Hillary Clinton apologises for praising Nancy Reagan s commitment to fight against Aids'
Sports,'Registration for the ST Run is still Those who sign up before next Wednesday March stand a chance to win a Mobot glider worth ST Run Duo win cruise trips by signing up early for ST Run'
Sports,'I am determined to fight No excuses but it s wrong to say I was warned five Tennis Maria Sharapova refutes claims that she was warned times on drug updates'
Social,'How far have we come in our recycling efforts What more can be done to get Singaporeans to cut down on plastic waste Tell us what you think Responses may be used in The Straits Times print Culture of waste inhibits green efforts'
Social,'Electric buggies help ferry commuters who require assistance to go around the new temporary bus interchange at Woodlands which opened on Saturday March The relocation of the interchange is for the construction of an underpass which will link an upgraded bus interchange to the North South Line Woodlands station and the future Thomson East Coast Line Woodlands This underpass will be completed in said LTA'
Politics,'News footage showed police wearing body armour escorting groups of people out of the building as scuffles and angry confrontations broke out throughout the building between Trump supporters and Trump rally in Chicago postponed for safety reasons'
Social,'Nature reserves contain unique wildlife and plants so take care not to harm Here are some tips for planning a visit to the nature Visiting nature reserves Dos and don ts'
Social,'Rising demand for computing degrees pushes up grades of those accepted on a par with NUS computing courses on par with law medicine and business studies'
Social,'The quiet property market might have cooled housing aspirations with home owners feeling no to upgrade said R ST Research director Ong Kah S Why HDB flat owners are in no hurry to sell'
Politics,'US spy satellites aircraft and ships have been secretly watching for days as the North Korean navy searched for the missing vessel reported CNN Hunt on for missing North Korean submarine CNN'
Politics,'While You Were Sleeping Big audience for panel with Dalai Lama despite Beijing Also North Korea defector reveals late leader s fears over libido and Timeline Photos'
Social,'Top story today March BCA to intensify audits of lifts especially those in HDB blocks in wake of Also in the news Tan Cheng Bock making second bid to be More on Timeline Photos'
Social,'Many of the s Hollywood glitterati including s sex symbol Bo Derek Oscar winner Anjelica Huston Magnum PI actor Tom Selleck and the A Team s Mr T were Nearly invited guests begin arriving for Nancy Reagan funeral'
Social,'Guests observed a minute of silence to honour the memory of the victims of the earthquake and Japanese groups in Singapore mark tragedy of deadly Fukushima earthquake and tsunami'
Social,'Singaporean travellers third most popular destination S Hotels here are offering art cycling and other activities to attract Bake cupcakes or try art jamming with staycation packages'
Social,'Jalaludeen Gulam Hussain made profits of while running the operation at a Buffalo Road Gang robbery victim jailed and fined for running unlicensed remittance business'
Social,'They were together for almost years but split up when Ong Teck Hock s lover found him in bed with someone Hurt and upset after hearing that the man had found another lover Ong started transferring money from his ex s bank account into his Fashion designer jailed for siphoning k from his ex lover'
Social,'Swiss German colleges to be added to the already set up for students to attend courses NUS to partner more unis in entrepreneur programme'
Social,'A witness said water had leaked onto the entire floor of a Another waste water leak at Jem shopping mall'
Sports,'Rafa Benitez is back in the English Premier L Football Newcastle United name Rafa Benitez as manager'
Sports,'S pore s world N Feng Tianwei is the new SEA Games women s singles news singapore Feng is the champ'
Sports,'S pore s male swimmers set a new record in the SEA Games Men s X m Freestyle news singapore'
Sports,'S pore has reached the semi finals of the SEA Games women s table tennis team news singapore Breaking News'
Sports,'Woman taken from Tiger Woods house by Breaking call to Tigers house'
Sports,'S pore N tl Olympic Council s secretary general confirmed that Singapore will give up hosting of the SEA G Spore wont host SEA Games'
Sports,'The waterpolo team has clinched S pore s first SEA games MORE TO COME news singapore'
Sports,'Andy Murray has split with his girlfriend after four years news tennis sports Murray splits with girlfriend'
Sports,'The World Cup draw Brazil get tough group with Portugal Ivory Coast news football Tough draw for Brazil'
Sports,'The Netherlands were among the seeded teams announced for World Cup but France and Portugal missed France Portugal not seeded'
Sports,'Tiger Wood s actions have proved too much for one of his fans who is now disbanding the First Church of Tiger news Church of Tiger disbands'
Sports,'Manchester United manager Alex Ferguson has been charged with improper conduct after questioning a referee s FA charges Ferguson'
Sports,'A joint SingTel Starhub bid has failed to secure them the rights to the World Cup a statement from them'
Sports,'Liverpool defeated eternal rivals Manchester United in the first leg of their Europa League last Football Sturridge and Firmino punish sorry Man United'
Sports,'Brilliant Borussia Dortmund have one foot in the quarter finals of the Europa League after sweeping aside Tottenham Hotspur with a Football Dortmund outclass Tottenham in Europa League'
Sports,'Biggest scalp of the night goes to Russian team Rubin Kazan who beat Barcelona at the Nou Camp news football Barca stunned by Rubin'
Sports,'Liverpool suffer stoppage time defeat at Anfield as Lyon beat them news football Reds stung by Lyon at Anfield'
Sports,'Tennis star Maria Sharapova says she has been taking a recently banned drug since for health Maria Sharapova failed drug test at Australian Open'
Technology,'The Xiaomi Mi weighs in at g and is It has a physical home button that houses a fingerprint sensor a Qualcomm Snapdragon and a megapixel Mi Sylph of a phone with a punch'
Technology,'Apple unveils new generation Magic Mouse which lets ppl use finger gestures instead of buttons wheels news tech Apple unveils Magic Mouse'
Technology,'Facebook is enhancing privacy controls eliminating regional framework as it tops million users news Facebook tops m users'
Technology,'Doctors in Britain warned not to respond to sexual advances from patients made through sites such as Facebook news No Facebook flirting docs'
Technology,'Google News launched tool that lets online media keep stories photos vids out of its index news Google News lets sites opt out'
Technology,'Google Voice now lets users merge home office and mobile phones into a single number news tech Google deeper in telecom turf'
Technology,'It s Machine Man in Go not the first time the human brain has lost out to a Google supercomputer AlphaGo beats human champ at Go other machines that beat man'
Technology,'Mobile data price war erupts a month will get you double the New Singtel add on allows customers to double their mobile data for monthly'
Technology,'Samsung has gone out of its way to improve the camera on the S making both S devices worth upgrading just for it says Deputy Tech Editor Sherwin L Samsung S duo more than just an upgrade'
Technology,'Google to allow users to listen buy songs directly from search results in partnership with online music sites news tech Google partners to offer music'
Technology,'Successful applicants to the programme will spend three to six months working with IDA s crack team of data scientists and software engineers to exchange ideas and transfer Smart Nation Fellowship Programme launched to tap expertise overseas'
Technology,'Facebook s auto playing videos could be using up precious tips on how to manage your data usage even with a mobile subscription price war'
Sports,'When Florida police need a hand Shaquille O Neal is happy to Cop calls for NBA backup in basketball complaint'
Social,'Kathleen Chua s sister and mother were separately tried for abusing the maid who escaped from their condominium by jumping out from a bedroom High Court quashes acquittal of woman for slapping maid orders retrial'
Technology,'Singapore s queue of the day to become the first owners of Samsung s latest Lines form for Samsung s latest Galaxy S and S edge smartphones'
Sports,'The basketball legend broke the news in a poem BBC Sport'
Social,'Her Bedok North Street home is not in an active dengue year old Bedok North resident dies of dengue MOH NEA'
Social,'Two out of three South Koreans aged to are degree holders but they face a high jobless rate amid a weak Dream jobs prove elusive for South Korea s college grads'
Social,'He became sexually aroused by the year old after he played wrestling with her one day and would touch her when she was Food deliveryman who lost count of times he molested stepdaughter faces jail and caning'
Social,'A bus driver in his s was arrested for causing death by rash act police Publishing executive dies in bus accident at Toh Tuck Avenue'
Social,'USB charging ports and more hop on to Singapore s bus of the future at the Bus C Photos from The Straits Times s post'
Social,'Elephants helped to raise some US for charity in a Bangkok polo tournament amid criticism from animal'
Sports,'Terrell Lawrence British basketball s first male cheerleader Learn more'
Sports,'A familiar rivalry Singapore versus Malaysia will be at play as the battle to be crowned the basketball kings of South east Asia Asean Basketball League Finals Singapore Slingers in mood to slay Malaysian rivals'
Politics,'The Cabinet decided that since Tun Mahathir is no longer supporting the current Government he should no longer hold any position related to the Government a statement Malaysia s Mahathir Mohamad s role as advisor to Petronas terminated'
Social,'He may have applied to be a private chef on her ongoing tour but he s unlikely to get My husband wants to fatten me up says singer Karen Mok'
Social,'Take nothing but pictures leave nothing but footprints kill nothing but The ST Guide T visiting Singapore s nature reserves'
Social,'People are trying to make it into something it s not we are not criminals we are the victims here the boy s grandmother Mother of pro gun US woman who was shot by year old son says it was just a freakish accident'
Social,'Millions across Japan came to a stop at on Friday the exact moment five years ago when an earthquake struck triggering a m'
Sports,'My belief is Singapore football can be worth that That s why I m in the And if you fall short that s still a lot more money than you had before says the ex player and Local football a billion business says Sasikumar'
Social,'In My Paper A Malaysian cafe has sparked a craze of dunking cookies into liquid nitrogen then eating them ice cold while breathing out cold smoke like a dragon in winter You can now get Frostbite in Malaysia with cool cookies'
Social,'Lim Chin Poh s sister and brother in law let him stay with their Instead of repaying their kindness he slashed the man with a chopper when questioned for coming home Man jailed years for slashing his brother in law with a chopper'
Social,'Recent lift incidents like one that shot up floors in Ang Mo Kio on Monday have all involved lifts in HDB BCA to step up lift checks review lift regulations says Minister Lawrence Wong'
Social,'A shot of Crystal Universe an immersive and interactive artwork enables visitors to experience the plants stars The artwork utilizes LED lights which together give the illusion of stars moving in space and visitors are able to experience from within ST photojournalist Ong Wee Jin took this shot zooming in at a slow shutter This is a media preview of the Future World permanent exhibition at ArtScience M ST PHOTO ONG WEE JIN Take a look here Details here The Straits Times s cover photo'
Social,'The number of littering fines hit a six year high in What is the root of the problem and what can be done about it Tell us what you think No quick fix to littering woes'
Social,'The Police Coast Guard first spotted three floating objects at sea off Gedong at about on T men arrested for unlawful entry into Singapore'
Social,'The public has Lush Green it Lush Green is the colour for new public buses in Singapore'
Social,'This is for children who are Singapore citizens or permanent residents born between Jan and Jan Registration and open houses for MOE kindergartens to be held in April'
Social,'With a small satchel slung across his body and armed with a ticket puncher a bus conductor would hand out tickets small pieces of paper printed with rows of numbers after passengers had paid their Check out a vintage s bus at first Singapore Bus Carnival'
Social,'Did you know that the patch of trees behind your home might save you money on air conditioning bills How trees can cut your air con bill'
Social,'I don t think I m so great as to have a commission setting out to eliminate me says Dr Tan Cheng Bock when asked about the ongoing review of the Elected P I will take it step by More here'
Politics,'Dr Tan Cheng Bock on the kind of President he hopes to be if he is More here'
Politics,'A president should be apolitical says Dr Tan Cheng B More here'
Politics,'I now state that I intend and will contest in the coming presidential elections says Dr Tan Cheng B'
Politics,'JUST IN Dr Tan Cheng Bock announces second bid for More here Tan Cheng Bock will make second bid for presidency'
Social,'I resigned from Jurong Hospital as I didn t agree on the naming of the This is a question of If you strongly believe something is wrong you must speak up says Dr Tan Cheng B More here'
Social,'Dr Tan Cheng Bock says he fought for education to be paid using CPF More here'
Social,'I was the one who fought really hard for free parking on Sundays says Dr Tan Cheng Bock at a press More here'
Social,'Here are the top most expensive cities in the world for Singapore Zurich Hong Kong Geneva Paris London New York Copenhagen Seoul Los Angeles Singapore rated costliest for expats for rd year'
Social,'Happening now Dr Tan Cheng Bock and six panel members have arrived at the press Live updates here More here ST VIDEO PHOTO PEARL LEE ZAKIR HUSSAIN'
Social,'Happening soon Dr Tan Cheng Bock who lost in the Presidential Election is holding a press Follow our live updates in the link More here ST PHOTO MARK CHEONG ST Now News As It Happens March'
Politics,'Ms Zeti Akhtar Aziz will be remembered as the governor who piloted Malaysia through two international crises while injecting much needed discipline into the banking Malaysia faces anxious succession as top banker Zeti calls it quits The Star columnist'
Social,'While confirming that a brand new Tesla Model S would have qualified for a green rebate the Land Transport Authority said it was re examining the case of a used electric car that was issued a carbon LTA reviewing Tesla case'
Social,'Joining a gang Facebook and Instagram Gangs using social media to expand'
Social,'Do keep an eye on your child even if they are playing near the The scary thing about drowning is that it s very silent and can happen in seconds said one A child can drown in as little as cm of Half of drownings involving kids happened in condo pools'
Social,'Unhappy with her maid a preschool teacher decided to get even by framing her for She planted her gold pendant in her maid s luggage and lied to the Teacher jailed for framing maid out of spite'
Politics,'Former Republican presidential candidate D Ben Carson who dropped his bid last week plans to endorse front runner Donald J Trump reports Former Republican presidential hopeful Ben Carson to endorse Donald Trump Report'
Politics,'Save Malaysia campaign led by former premier Tun Dr Mahathir Mohamad seeks to pressure Malaysian PM Najib Razak to Mahathir led group takes anti Najib drive nationwide'
Social,'Coming soon Tesla wants to re enter the Singapore market after leaving in a huff in without selling a single Carmaker eyeing Singapore re entry'
Social,'Being involved in cyber bullying whether as a victim or as those who are both bullies and victims of bullying was associated with a higher level of reported self harm study Cyber bullying linked to self harm among the young in Singapore Study'
Social,'Telco price war StarHub s new price of a month or a promotional rate of for sign ups this month only for its GB plan is less than half of what it used to Telcos dangle data offer in price war'
Politics,'What can one expect from a Donald Trump presidency An America that takes care of its own is less inclined to intervene in global conflicts and a trade war with China are just some of the In Donald s world order America will Trump the world'
Social,'Singles made up per cent of the people in the age group last year a sharp rise from per cent more than a decade More young people in Singapore staying single'
Politics,'The documents in Arabic were forms with questions and contained the names of ISIS recruits and of their relatives telephone numbers birth dates nationalities home towns and even blood Leaked files could offer rare insight into ISIS'
Politics,'While You Were Sleeping President Barack Obama and new Canadian Prime Minister Justin Trudeau on Thursday March ended a frosty period in bilateral ties by agreeing to tackle climate change and strive to settle a long lasting trade dispute over softwood Also In France more teenage girls than boys are drawn to joining jihadists from the Islamic State in Iraq and Syria ISIS Timeline Photos'
Social,'Top story today March Leaked files could offer rare insight into ISIS Also in the news ECB cuts rates raises stimulus More on Timeline Photos'
Sports,'Liverpool defeated eternal rivals Manchester United in the first leg of their Europa League last Football Sturridge and Firmino punish sorry Man United'
Social,'Hippo A Ho who regularly performed at the Taichung zoo died in after breaking a leg and sustaining other injuries while being transported from the Taiwan court rejects appeal to reinstate fine on zoo owner over death of hippo'
Sports,'Brilliant Borussia Dortmund have one foot in the quarter finals of the Europa League after sweeping aside Tottenham Hotspur with a Football Dortmund outclass Tottenham in Europa League'
Politics,'What I m not going to do is to validate some notion that the Republican crackup that s been taking place is a consequence of actions that I ve taken said US President Barack O Barack Obama rejects blame for Donald Trump s rise'
Social,'These girls are not just dreaming of becoming meek so called jihadi brides More French girls lured by ISIS than boys Source'
Social,'People with a rare genetic mutation that causes the body to have high levels of HDL paradoxically has a higher heart risk scientists reported in the journal S Scientists find good cholesterol can sometimes be bad'
Technology,'This weekend at the IT Show Novel offers and cheap deals from telcos and ISPs Novel offers from telcos and ISPs at IT show'
Social,'Claiming that he did not have his wallet with him Derek Khor gave his younger brother s full name and NRIC number to a police The wallet was found under the driver s Banned driver who claimed he was his brother jailed months'
Social,'The workers did not know that the termite infested tree was severely Gardener s fall from palm tree an unfortunate industrial misadventure says coroner'
Technology,'Misspelling foundation as fandation cost the hackers at least US Hacker s typo helped stop billion dollar heist of Bangladesh s central bank but culprits'
Social,'It will be harder for aspiring developers with limited track records to build and sell private Changes to housing developers rules'
Social,'Ong Jack Hong has so much potential that the army could help him fulfil his army commander The teenager was put on probation for having sex with a drunk and vulnerable Probation for teen thanks to good NS conduct'
Social,'What s on the Budget wish list for business leaders of SMEs Find out in ST s Budget Budget Why it matters to you'
Social,'Almost all the shops at Alexandra Central mall which is next to Ikea were sold in one day when it was launched in Fast forward three years and crowds are thin Property sector still in the doldrums'
Technology,'It s Machine Man in Go not the first time the human brain has lost out to a Google supercomputer AlphaGo beats human champ at Go other machines that beat man'
Social,'The M The Straits Times Life Theatre Awards is back and readers can vote for their favourite production for the Readers Choice Support your favourite theatre group and you could win a D N stay at the spanking new The South Beach hotel Vote for M The Straits Times Life Theatre Awards Readers Choice award and win a'
Social,'One of the Singaporeans bumped into a stranger while dancing and did not immediately apologise Vietnamese reports Singaporeans stabbed in Ho Chi Minh club Vietnam media'
Social,'How have areas in Japan hit by the earthquake and tsunami in recovered Find out in our interactive Sliders Japan s Tohoku region five years after the tsunami'
Social,'Mobile data price war erupts a month will get you double the New Singtel add on allows customers to double their mobile data for monthly'
Social,'It was dad mode you know protecting my So I just did what I could he US father saves son from flying baseball bat with his arm'
Social,'Yak Yew Chee whose accounts were frozen in September left the bank in F BSI Singapore banker involved in MDB investigation leaves firm'
Social,'Sponsored BrandInsider series Once considered ulu Woodlands and Sembawang will be home to key developments over the next few See them all in one flythrough WATCH new developments in Woodlands and Sembawang you need to know about'
Social,'UPDATE German federal police say leaked registration files are likely to be Inconsistencies in documents purportedly leaked from ISIS sound alarm bells Analysts'
Social,'After gambling away their cash leaving them without enough money to fly home two Vietnamese tourists came up with a plot that some would think was Vietnamese tourists jailed for k fruit store break in'
Social,'As a business owner what are your concerns and what do you hope to see in Budget Take part in our Budget poll here jointly presented by ST and PricewaterhouseC Take our Budget poll What matters to businesses'
Social,'SCDF personnel had to use hydraulic tools to extricate a man who was trapped in the injured in three vehicle accident along AYE'
Politics,'Tensions are high on the Korean peninsula after North Korea fired a pair of short range missiles and announced the liquidation of all remaining South Korean assets on its North Korea fires missiles says will liquidate South Korean assets'
Social,'An Alaska Airlines flight from Anchorage to Honolulu was redirected briefly giving its passengers a breathtaking view of yesterday s solar WATCH Alaska Airlines redirects flight for passengers to view solar eclipse m in mid air'
Social,'People who chose to stare at yesterday morning s solar eclipse risked burning their Stare for minutes at solar eclipse without proper protection and risk burning your eyes'
Social,'Singapore has retained the title of the world s most expensive city for the third year in a row despite experiencing its longest spell of declining consumer prices since the Singapore still world s most expensive city EIU'
Social,'Dengue cases here have been on the rise since the turn of the year threatening to hit a record high of over by the end of this Infographics journalist Lim Yong and artist Tang Wee Cheow look at the spread of the virus and what you can do to fight FOR MORE Timeline Photos'
Social,'All maid agencies here will need to be graded before they are allowed to renew their Maid agencies to be graded by Case and Manpower Ministry'
Social,'The survey found that of people here use English most often at home against for M English most common home language in Singapore bilingualism also up Government survey'
Social,'Ang Mo Kio Town Council which manages the malfunctioning lift is required to appoint an independent examiner to inspect Probe into case of lift that shot up floors'
Technology,'M will install sensors and a panic button in the house which can send alerts to caregivers either via SMS or in real time on a website optimised for mobile phone M launches home monitoring service targeted at the elderly'
Social,'The daring Hatton Garden heist in London s jewellery district has been called the biggest burglary in England s legal history Five jailed for years over England s biggest heist'
Social,'On July last year construction worker Zhang Quanfu called the police emergency hotline twice and made the Man who threatened to blow up Parliament House and attack PM s family jailed'
Social,'Delivery driver Wang Baohua lives on the job quite literally as his home is his But for Mr Wang and his pregnant wife all that matters is that they have each Delivery man and pregnant wife live in a lorry but say they are happy as they have each other'
Politics,'Dr Tan Cheng Bock who lost the presidential election will announce on Friday whether he will make another bid for the Tan Cheng Bock to say on Friday whether he will run for president'
